menu,dining_course,day
AF Vegan Green Monster; AF Grilled Chicken Green Monster; Millet,Allergen Friendly,day11
Chocolate Brownie; Vegan Brownies,Dessert,day11
Baked Sweet Potato; Roasted Zucchini and Summer Squash; Grilled Chicken Breast,Lighter Side,day11
Pesto Chicken Salad; Pearl Pasta Salad with Apricot; Green Bean Potato Salad; White Bean Hummus,Salad Bar,day11
Tomato Basil Bisque,Soup,day11
Green Monster Grilled Cheese; Vegan Green Monster Grilled Cheese; Grilled Cheese; Roasted Carrots,Traditional,day11
AF Beef Kofta; AF Vegan Kofta; AF Cooked Brown Basmati Rice,Allergen Friendly,day12
Chocolate Chip M&M Cookie; Vegan Ranger Cookies,Dessert,day12
Roasted Potatoes; Steamed Green Beans; Grilled Chicken Breast,Lighter Side,day12
Pesto Chicken Salad; Green Bean Potato Salad; White Bean Hummus; Pearl Pasta Salad with Apricot,Salad Bar,day12
Chipotle Sweet Potato Soup; Corn Chowder,Soup,day12
Roasted Zucchini and Summer Squash; AF Sheppherds Salad; Steamed Kale; AF Roasted Cherry Tomatoes; Wheat Pita; Basmati Rice; Middle Eastern Vegan Crumble; Middle Eastern Shaved Beef; Tzatziki Sauce,Traditional,day12
AF Cajun Spiced Chicken; AF Cajun Spiced Chickpea Stew; AF Vegan Polenta,Allergen Friendly,day13
Butterscotch Blondie; Vegan Butterscotch Blondie,Dessert,day13
Roasted Yukon Gold Potatoes; Steamed Peas; Grilled Chicken Breast,Lighter Side,day13
Pearl Pasta Salad with Apricot; White Bean Hummus; Green Bean Potato Salad; Pesto Chicken Salad,Salad Bar,day13
Clam Chowder; 3 Bean Chili; Tomato Bisque,Soup,day13
Shrimp Po Boy Sandwich; Veggie Burger Po Boy Sandwich; Roasted Beets,Traditional,day13
AF Vegetarian Chili; AF Cooked Brown Basmati Rice; AF Beef Chili,Allergen Friendly,day14
Cherry Squares; Vegan Cherry Squares,Dessert,day14
Roasted Calico Fingerling Potatoes; Steamed Corn; Grilled Chicken Breast,Lighter Side,day14
White Bean Hummus; Green Bean Potato Salad; Pesto Chicken Salad; Pearl Pasta Salad with Apricot,Salad Bar,day14
Pasta Fagioli with Sausage; Chipotle Sweet Potato Soup,Soup,day14
"Tostitos; Diced Tomatoes; Onion, Red, Diced; Cilantro, Chopped; Iceberg, Lettuce, Shredded; Cheddar Cheese; Sour Cream; Braised Collard Greens with Garlic; Corn Bread; Vegetarian Chili; Bison Chili; White Rice",Traditional,day14
AF Charlie's Chicken; AF Grilled Portobello w/Balsamic Glaze; Quinoa,Allergen Friendly,day15
Chocolate Brownie; Vegan Brownies,Dessert,day15
Grilled Chicken Breast; Steamed Kale; Baked Sweet Potato,Lighter Side,day15
Cavatappi Pasta Salad; Creamy Cole Slaw; Cranberry-Apple Chicken Salad; Hummus,Salad Bar,day15
Pasta Fagioli with Sausage; Split Pea & Kale Soup,Soup,day15
Charlie's Chicken; Creole Fried Tofu; Roasted Cauliflower; White Rice,Traditional,day15
AF Marinana Chicken Pasta; AF Marinana Mushroom Pasta; AF Steamed Rice Brown,Allergen Friendly,day16
Vegan Chocolate Chip Cookies; Chocolate Chip Cookie,Dessert,day16
Grilled Chicken Breast; Roasted Potatoes; Ratatouille,Lighter Side,day16
Hummus; Cranberry-Apple Chicken Salad; Creamy Cole Slaw; Cavatappi Pasta Salad,Salad Bar,day16
White Bean & Escarole Soup; Soup Turkey Gumbo Kettle Cuisine,Soup,day16
Steamed Broccoli; Braised Beef Ravioli; Roasted Vegetable Vegan Ravioli; Marinara Sauce; Alfredo Cheese Sauce; Garlic and Herb Breadsticks,Traditional,day16
AF Bulgogi Korean BBQ Beef; AF Grilled Chickpea Tofu; AF Cooked Jasmine Rice,Allergen Friendly,day17
Strawberry Oat Bar; Vegan Strawberry Oat Bar,Dessert,day17
Grilled Chicken Breast; Steamed Sugar Snap Peas; Roasted Yukon Gold Potatoes,Lighter Side,day17
Creamy Cole Slaw; Cranberry-Apple Chicken Salad; Cavatappi Pasta Salad; Hummus,Salad Bar,day17
Broccoli Cheddar Soup; Beef and Barley Soup,Soup,day17
Poke Bowl Salmon; Bulgogi Korean BBQ Beef; Sushi Rice; Kimchi Slaw; Edamame; Mango Chunks; Nori; Pickled Ginger; Shredded Carrots; Cilantro; Green Onion; Spicy Mayo,Traditional,day17
AF Chili Lime Chicken; AF Chili Lime Seared Chickpea Tofu; AF Roasted Potatoes,Allergen Friendly,day18
Chocolate Chip M&M Cookie; Vegan Ranger Cookies,Dessert,day18
Grilled Chicken Breast; Baked Sweet Potato; Steamed Fresh Carrots; Roasted Harvest Vegetable Blend,Lighter Side,day18
Tabbouleh Salad; Buffalo Chicken Salad; Potato Salad; Black Bean Hummus,Salad Bar,day18
Chicken and Roasted Corn Chowder; Butternut Squash & Apple Soup,Soup,day18
Chicken Tenders; Pakora Caesar Wrap; Chicken Caesar Wrap; Waffle Fries; Roasted Brussels Sprouts with Garlic,Traditional,day18
AF Steamed Green Beans; AF Rice Pilaf; AF Beef Stew,Allergen Friendly,day19
Vegan Espresso Brownies; Chocolate Cream Cheese Brownie,Dessert,day19
AF Roasted Potatoes; Grilled Chicken Breast,Lighter Side,day19
Buffalo Chicken Salad; Black Bean Hummus; Potato Salad; Tabbouleh Salad,Salad Bar,day19
Chicken Noodle Soup; Carrot Ginger Soup; Black Bean Soup,Soup,day19
Autumnal Beef Stew; Lentil Stew; White Rice; Honey Roasted Carrots,Traditional,day19
AF Creole Fried Chicpea Tofu; AF Vegan Polenta,Allergen Friendly,day20
Vegan Butterscotch Blondie; Butterscotch Blondie,Dessert,day20
Roasted Yukon Gold Potatoes; New England Cod Cakes; Steamed Kale; Grilled Chicken Breast,Lighter Side,day20
Tabbouleh Salad; Potato Salad; Black Bean Hummus; Buffalo Chicken Salad,Salad Bar,day20
Chipotle Sweet Potato Soup; Clam Chowder,Soup,day20
Burger; Black Bean Veggie Burger; White Rice; Seasoned Potato Wedges; Fried Pickles; Roasted Vegetables,Traditional,day20
AF Steamed Rice Brown; AF Eggplant Cacciatore; AF Chicken Cacciatore,Allergen Friendly,day21
Vegan Congo Bars; Congo Bars,Dessert,day21
Roasted Calico Fingerling Potatoes; Steamed Corn; Grilled Chicken Breast,Lighter Side,day21
Buffalo Chicken Salad; Potato Salad; Black Bean Hummus; Tabbouleh Salad,Salad Bar,day21
White Cauliflower & Cheddar Soup; French Onion Soup,Soup,day21
Chicken Parmesan; Fresh Marinara Sauce; Eggplant Parmesan; Waffle Fries; Garlic Green Beans; Bulkie Rolls,Traditional,day21
Vegan Brownies with Chocolate Chips; M&M Brownie,Dessert,day22
AF Cooked Quinoa; Beyond Meat Vegan Brat; Sausage Chicken and Apple; Steamed Kale; Baked Sweet Potato; Grilled Chicken Breast,Lighter Side,day22
Greek Pasta Salad; Ham Salad; Brussels Sprouts & Pomegranate Salad; Artichoke and White Bean Hummus,Salad Bar,day22
Chicken Orzo Soup; Corn Chowder,Soup,day22
Cage Free Scrambled Eggs; Pure Maple Syrup; Roasted Broccoli; Bacon; Vermont Corned Beef; Garden Frittata,Traditional,day22
Vegan Chocolate Chip Blondie; Chocolate Chip Blondie,Dessert,day23
AF Quinoa Stuffed Tomatoes; AF Cooked Brown Basmati Rice; Brown Rice; Roasted Broccoli; Grilled Chicken Breast,Lighter Side,day23
Loaded Potato Soup; Black Bean Soup,Soup,day23
Smoked Gouda & Maple Grilled Cheese; Roasted Harvest Vegetable Blend; Maple Ham and Smoked Gouda Sandwich; Maple Roasted Sweet Potatoes,Traditional,day23
AF Beef Stir Fry with Onions & Peppers,Allergen Friendly,day24
Raspberry Chocolate Chip Oat Bar; Vegan Raspberry Chocolate Chip Oat Bar; Chocolate Chip Blondie; Vegan Chocolate Chip Blondie,Dessert,day24
AF Cooked Jasmine Rice; AF Grilled Vegetable Taco Filling; AF Roasted Yukon Gold Potatoes; Steamed Sugar Snap Peas; Grilled Chicken Breast,Lighter Side,day24
Thai Chicken Soup with Red Curry; Hungarian Mushroom Soup,Soup,day24
Shrimp Taco Filling; Spanish Rice; Tortilla; Adobo Zucchini with Onions & Peppers; Yellow Corn Tortillas; Grilled Vegetable Taco Filling; Cantina Chicken Taco Filling; Corn Tortilla,Traditional,day24
Vegan Coconut Lemon Bars; Lemon Bars,Dessert,day25
AF Rice Noodles with Garlic & Scallions; AF Chickpea Tofu Stir Fry; AF Beef Stir Fry with Onions & Peppers; Baked Sweet Potato; Steamed Fresh Carrots; Grilled Chicken Breast,Lighter Side,day25
Minestrone Soup; Tomato & Garden Vegetable Soup,Soup,day25
Roasted Broccoli and Cauliflower; Kale and Vegetable Dumpling; Mu Shu Tofu; Vegetable Lo Mein; Lo Mein Chicken,Traditional,day25
Salted Caramel Pretzel Brownies; Vegan Salted Caramel Pretzel Bar,Dessert,day26
AF Steamed Rice Brown; AF Herb Marinated Grilled Portobello; Roasted Potatoes; Steamed Green Beans; Grilled Chicken Breast,Lighter Side,day26
Lentil Soup; 3 Bean Chili,Soup,day26
Zucchini Corn Fajita; Yuca Fries; Cuban Sandwich; Black Bean Torta,Traditional,day26
Oatmeal Raisin Cookies; Vegan Oatmeal Raisin Bars,Dessert,day27
AF Vegan Polenta; AF Feijoada; Roasted Yukon Gold Potatoes; Roasted Butternut Squash; Grilled Chicken Breast,Lighter Side,day27
Split Pea & Kale Soup; Clam Chowder,Soup,day27
Roasted Carrots; Tartar Sauce; French Fries; Broccoli Macaroni and Cheese; New England Fish Fry,Traditional,day27
Cherry Squares; Vegan Lemon Poppy Seed Cake,Dessert,day28
AF Cooked Brown Basmati Rice; AF Marinana Chicken Pasta; AF Marinana Mushroom Pasta; Roasted Calico Fingerling Potatoes; Grilled Chicken Breast; Roasted Beets,Lighter Side,day28
Chicken Noodle Soup; Broccoli Cheddar Soup,Soup,day28
Steamed Primavera Vegetables; Vegan Pesto Gemelli; Chicken Broccoli Alfredo,Traditional,day28
